datetime,ISIN,opening_price_eur,closing_price_eur,minimum_price_eur,maximum_price_eur,daily_traded_volume,StartPrice_eur,EndPrice_eur,desviacion_estandar,EndPrice_mxn
2022-12-31 11:47:00,DE0002605557,79.5,80.5,79.5,80.5,8,79.5,79.5,0.0,1526.3999999999999
2022-12-31 08:04:00,DE0002635265,102.0,102.245,101.805,102.28,12462,101.87,101.805,0.04596194077712398,1954.656
2022-12-31 08:09:00,DE0002635273,18.97,19.222,18.772,19.282,55367,18.772,18.772,0.0,360.4224
2022-12-31 08:09:00,DE0002635281,17.672,17.734,17.464,17.758,28502,17.464,17.464,0.0,335.30879999999996
2022-12-31 08:04:00,DE0002635299,18.354,18.44,18.2,18.44,32874,18.2,18.2,0.0,349.44
2022-12-31 08:09:00,DE0002635307,44.27,44.745,43.97,44.805,969320,44.0,43.97,0.02121320343559723,844.2239999999999
2022-12-31 08:23:00,DE0005008007,6.9,6.99,6.78,6.99,6255,6.78,6.78,0.0,130.176
2022-12-31 08:02:00,DE0005088108,6.04,6.02,5.98,6.16,7859,6.0,5.98,0.014142135623730649,114.816
2022-12-31 08:03:00,DE0005089031,30.13,30.36,29.8,30.61,334013,29.8,29.81,0.0070710678118640685,572.352
2022-12-31 08:04:00,DE0005093108,142.2,144.0,139.4,144.4,8825,139.4,139.4,0.0,2676.48
2022-12-31 08:02:00,DE0005102008,114.4,114.6,110.0,115.0,6751,110.0,110.0,0.0,2112.0
2022-12-31 08:00:00,DE0005103006,14.8,15.0,14.52,15.24,129070,14.78,14.52,0.1838477631085022,278.784
2022-12-31 08:00:00,DE0005104400,172.6,174.6,169.2,174.6,8238,169.2,169.2,0.0,3248.64
2022-12-31 11:05:00,DE0005104806,6.2,6.3,6.2,6.3,948,6.2,6.2,0.0,119.03999999999999
2022-12-31 08:02:00,DE0005110001,61.0,62.2,61.0,64.0,3081,61.0,61.0,0.0,1171.2
2022-12-31 08:02:00,DE0005118806,1.6,1.62,1.58,1.62,2040,1.6,1.58,0.014142135623730963,30.336
2022-12-31 08:02:00,DE0005137004,1.41,1.42,1.406,1.46,288427,1.408,1.406,0.0014142135623730963,26.995199999999997
2022-12-31 08:03:00,DE0005140008,11.214,11.26,10.692,11.306,29095506,10.698,10.696,0.0014142135623735675,205.36319999999998
2022-12-31 08:16:00,DE0005146807,5.2,5.54,5.2,5.58,404,5.2,5.2,0.0,99.84
2022-12-31 08:26:00,DE0005156004,0.29,0.315,0.29,0.315,423,0.29,0.29,0.0,5.568
2022-12-31 09:31:00,DE0005156236,12.4,12.2,11.6,12.6,4900,11.6,11.6,0.0,222.72
2022-12-31 08:02:00,DE0005157101,27.9,29.0,27.9,29.0,9172,27.9,27.9,0.0,535.68
2022-12-31 08:02:00,DE0005158703,44.39,46.05,43.9,46.09,504244,44.39,44.76,0.26162950903902077,859.3919999999999
2022-12-31 08:02:00,DE0005167902,2.66,2.81,2.65,2.87,11802,2.65,2.65,0.0,50.879999999999995
2022-12-31 08:42:00,DE0005168108,9.51,9.4,9.25,9.51,7960,9.25,9.25,0.0,177.6
